DATAFLOW,LAST UPDATE,freq,unit,isced11,hlth_pb,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:HLTH_EHIS_MH1E(1.0),16/06/23 23:00:00,Annual,Percentage,All ISCED 2011 levels,Depressive symptoms,Total,Total,Austria,2019,5.6,,
ESTAT:HLTH_EHIS_MH1E(1.0),16/06/23 23:00:00,Annual,Percentage,All ISCED 2011 levels,Depressive symptoms,Total,Total,Belgium,2019,9.0,,
ESTAT:HLTH_EHIS_MH1E(1.0),16/06/23 23:00:00,Annual,Percentage,All ISCED 2011 levels,Depressive symptoms,Total,Total,Bulgaria,2019,4.5,,
ESTAT:HLTH_EHIS_MH1E(1.0),16/06/23 23:00:00,Annual,Percentage,All ISCED 2011 levels,Depressive symptoms,Total,Total,Cyprus,2019,2.5,,
ESTAT:HLTH_EHIS_MH1E(1.0),16/06/23 23:00:00,Annual,Percentage,All ISCED 2011 levels,Depressive symptoms,Total,Total,Czechia,2019,4.2,,
ESTAT:HLTH_EHIS_MH1E(1.0),16/06/23 23:00:00,Annual,Percentage,All ISCED 2011 levels,Depressive symptoms,Total,Total,Germany,2019,9.1,,
ESTAT:HLTH_EHIS_MH1E(1.0),16/06/23 23:00:00,Annual,Percentage,All ISCED 2011 levels,Depressive symptoms,Total,Total,Denmark,2019,8.4,,
ESTAT:HLTH_EHIS_MH1E(1.0),16/06/23 23:00:00,Annual,Percentage,All ISCED 2011 levels,Depressive symptoms,Total,Total,Estonia,2019,8.2,,
ESTAT:HLTH_EHIS_MH1E(1.0),16/06/23 23:00:00,Annual,Percentage,All ISCED 2011 levels,Depressive symptoms,Total,Total,Greece,2019,2.6,,
ESTAT:HLTH_EHIS_MH1E(1.0),16/06/23 23:00:00,Annual,Percentage,All ISCED 2011 levels,Depressive symptoms,Total,Total,Spain,2019,4.8,,
ESTAT:HLTH_EHIS_MH1E(1.0),16/06/23 23:00:00,Annual,Percentage,All ISCED 2011 levels,Depressive symptoms,Total,Total,European Union - 27 countries (from 2020),2019,7.0,,
ESTAT:HLTH_EHIS_MH1E(1.0),16/06/23 23:00:00,Annual,Percentage,All ISCED 2011 levels,Depressive symptoms,Total,Total,Finland,2019,6.5,,
ESTAT:HLTH_EHIS_MH1E(1.0),16/06/23 23:00:00,Annual,Percentage,All ISCED 2011 levels,Depressive symptoms,Total,Total,France,2019,10.8,,
ESTAT:HLTH_EHIS_MH1E(1.0),16/06/23 23:00:00,Annual,Percentage,All ISCED 2011 levels,Depressive symptoms,Total,Total,Croatia,2019,8.7,,
ESTAT:HLTH_EHIS_MH1E(1.0),16/06/23 23:00:00,Annual,Percentage,All ISCED 2011 levels,Depressive symptoms,Total,Total,Hungary,2019,5.4,,
ESTAT:HLTH_EHIS_MH1E(1.0),16/06/23 23:00:00,Annual,Percentage,All ISCED 2011 levels,Depressive symptoms,Total,Total,Ireland,2019,4.9,,
ESTAT:HLTH_EHIS_MH1E(1.0),16/06/23 23:00:00,Annual,Percentage,All ISCED 2011 levels,Depressive symptoms,Total,Total,Iceland,2019,7.6,,
ESTAT:HLTH_EHIS_MH1E(1.0),16/06/23 23:00:00,Annual,Percentage,All ISCED 2011 levels,Depressive symptoms,Total,Total,Italy,2019,4.2,,
ESTAT:HLTH_EHIS_MH1E(1.0),16/06/23 23:00:00,Annual,Percentage,All ISCED 2011 levels,Depressive symptoms,Total,Total,Lithuania,2019,5.5,,
ESTAT:HLTH_EHIS_MH1E(1.0),16/06/23 23:00:00,Annual,Percentage,All ISCED 2011 levels,Depressive symptoms,Total,Total,Luxembourg,2019,8.3,,
ESTAT:HLTH_EHIS_MH1E(1.0),16/06/23 23:00:00,Annual,Percentage,All ISCED 2011 levels,Depressive symptoms,Total,Total,Latvia,2019,5.6,,
ESTAT:HLTH_EHIS_MH1E(1.0),16/06/23 23:00:00,Annual,Percentage,All ISCED 2011 levels,Depressive symptoms,Total,Total,Malta,2019,8.8,,
ESTAT:HLTH_EHIS_MH1E(1.0),16/06/23 23:00:00,Annual,Percentage,All ISCED 2011 levels,Depressive symptoms,Total,Total,Netherlands,2019,8.2,,
ESTAT:HLTH_EHIS_MH1E(1.0),16/06/23 23:00:00,Annual,Percentage,All ISCED 2011 levels,Depressive symptoms,Total,Total,Norway,2019,6.2,,
ESTAT:HLTH_EHIS_MH1E(1.0),16/06/23 23:00:00,Annual,Percentage,All ISCED 2011 levels,Depressive symptoms,Total,Total,Poland,2019,5.0,,
ESTAT:HLTH_EHIS_MH1E(1.0),16/06/23 23:00:00,Annual,Percentage,All ISCED 2011 levels,Depressive symptoms,Total,Total,Portugal,2019,8.4,,
ESTAT:HLTH_EHIS_MH1E(1.0),16/06/23 23:00:00,Annual,Percentage,All ISCED 2011 levels,Depressive symptoms,Total,Total,Romania,2019,4.1,,
ESTAT:HLTH_EHIS_MH1E(1.0),16/06/23 23:00:00,Annual,Percentage,All ISCED 2011 levels,Depressive symptoms,Total,Total,Serbia,2019,2.2,,
ESTAT:HLTH_EHIS_MH1E(1.0),16/06/23 23:00:00,Annual,Percentage,All ISCED 2011 levels,Depressive symptoms,Total,Total,Sweden,2019,10.5,,
ESTAT:HLTH_EHIS_MH1E(1.0),16/06/23 23:00:00,Annual,Percentage,All ISCED 2011 levels,Depressive symptoms,Total,Total,Slovenia,2019,7.5,,
ESTAT:HLTH_EHIS_MH1E(1.0),16/06/23 23:00:00,Annual,Percentage,All ISCED 2011 levels,Depressive symptoms,Total,Total,Slovakia,2019,3.1,,
ESTAT:HLTH_EHIS_MH1E(1.0),16/06/23 23:00:00,Annual,Percentage,All ISCED 2011 levels,Depressive symptoms,Total,Total,TÃ¼rkiye,2019,6.6,,
